Name,Score,Keyword,Time,Purchase,Text,votes,Helpful_Votes,product_name,Experience
Riswana Rinu,5,Totally impressed!,2015-08-31,Y,I am totally impressed with this camera.  Even the battery lasts indefinitely when it sits without being used.  I HIGHLY recommend this camera!,0,0,Canon SX50,2
Archana Lokhande,5,Canon Powershot SX50,2015-08-30,Y,This camera is easy to use. This is my second one I purchased because my husband liked mine so much he wanted his own,0,0,Canon SX50,2
heena,5,Five Stars,2015-08-28,Y,Great looking camera but did not check out the functions since I had returned the camera.,4,1,Canon SX50,1
Atul Mishra,5,I've never been able to take such amazing pictures before with any other camera,2015-08-27,N,I've never been able to take such amazing pictures before with any other camera. Best camera I've ever had!,0,0,Canon SX50,2
Manaswini s,5,Finally a camera that I love!,2015-08-25,Y,"Great image quality with awesome zoom. Lots of features, maybe too many! Would recommend for someone wanting a DSLR (without all the bulk, lenses, cost, etc.) but more than a point-and-shoot.",0,0,Canon SX50,1
Mridul,5,Very nice camera. It works well for what I use ...,2015-08-23,Y,"Very nice camera.  It works well for what I use it for, it does some nice close ups but you got to be patient and wait for it to focus to get great photos, glad I bought it.",0,0,Canon SX50,4
Mjs,4,Doing great so far,2015-08-20,Y,Doing great so far! It's a great camera! Awesome zoom. The only problem i have with it is it didn't come with a cord to plug it into the computer. I had to go buy my own. It was a pain. But the camera itself is wonderful!,1,1,Canon SX50,1
Sarala Devi,4,LOTS- A- CAMERA FOR THE PRICE,2015-08-16,Y,CANON CAMERAS-WOW! THIS ONE IS SCARY POWERFUL FOR THE MONEY. I'LL PROBABLY NEVER USE ALL THE FEATURES. THE BUILT IN TELEPHOTO IS A VERY NICE ENHANCEMENT FOR ROUTINE SNAPSHOT STUFF. BUT IF YOU'RE LOOKING FOR &#34;REAL DEAL &#34; DIGITAL TELEPHOTO  YOU'RE GONNA HAVE TO STEP UP TO THE BIG BUCKS $$ RIGS TO MATCH THE TELEPHOTO PERFORMANCE OF THE &#34;OLD SCHOOL&#34; ANALOG FILM DAYS. IN THOSE DAYS ELECTROMAN COULD STRUT AROUND WITH A NECK FULL OF LONG LENSES AT 200- 300$ A POP.,2,0,Canon SX50,1
Ravi,5,"Great Image Quality, Light, Small, and  Reasonably Affordable....what more can one ask for?",2015-08-15,N,"First of all I purchased the SX50 directly from Adorama. Sorry Amazon. At the time of purchase, it seemed Amazon changed vendors or suggested vendors hour by hour. One of them was Adorama, and I decided just to purchase directly from them.<br /><br />Regarding the camera. In good light conditions, the camera image quality is excellent. I have used the zoom quite extensively and am amazed at the image quality. Many DSLRs, including our Pentax K-50 have some trouble with the color red. The SX-50 reproduces red as close to perfectly as possible. I compared the SX with the K-50 back to back, same day, same moment, and the SX-50 handling of red was much better than the K-50.<br /><br />The SX-50 has virtually every feature and mode one would expect in a bargain DSLR. Programs, Scenes, Modes (TV, AV, etc.) are all there. The macro function and ability to focus within a cm or less is incredible.<br /><br />The video quality is also quite good. However, the microphones are quite sensitive so I found I had to enter the menus and lower the microphone volume accordingly. I have not used the slow motion feature, but the standard movie mode works great.<br /><br />I like the fold out display feature. The display itself is a bit small, but is fine. The LCD provides plenty of detail, however, in direct sunlight though you see the screen, it is difficult to see enough detail to properly compose a photograph.<br /><br />The viewfinder is fine. Sure it is small (low res), but I believe that many of the complaints I have read about the viewfinder are unjustified, and probably made by users who did not bother to make the diopter adjustment.<br /><br />The camera is light and small, actually a bit too small for my large hands. This format (weight, size, zoom capability) makes it the perfect travel camera.<br /><br />So far so good. The camera is capable of excellent image quality given the light conditions are satisfactory. Now for what I don't like.<br /><br />The battery and flash card compartment cannot be accessed if the camera is mounted to a tripod or tripod mount sling strap is  used. I knew about the compartment location prior to purchased and it did not bother me as I seldom use a tripod and even less frequently would change cards or batteries while on the mount. HOWEVER, I love Joby Sling Straps and they attach using the tripod mount. So now I must remove the strap to change batteries and access the memory card. Bummer.<br /><br />I am constantly inadvertently selecting the timer and other functions. I don't know if it is the compact design or placement, or ???, but dang, every couple of minutes I accidentally select a feature or option. Especially the timer.<br /><br />So, in summary. I would definitely purchase the camera again, though I noticed the price increased by $60. It is a great advanced point and shoot camera. I am amazed by the image quality and zoom image quality. Wish they would have placed the battery and memory compartment in a different location but that is a minor inconvenience given the performance of the camera. It is light, small, capable, and reasonably affordable...what more can you ask for?d compartment cannot be accessed if the camera is mounted to a tripod or tripod mount sling strap is  used. I knew about the compartment location prior to purchased and it did not bother me as I seldom use a tripod and even less frequently would change cards or batteries while on the mount. HOWEVER, I love Joby Sling Straps and they attach using the tripod mount. So now I must remove the strap to change batteries and access the memory card. Bummer.<br /><br />I am constantly inadvertently selecting the timer and other functions. I don't know if it is the compact design or placement, or ???, but dang, every couple of minutes I accidentally select a feature or option. Especially the timer.<br /><br />So, in summary. I would definitely purchase the camera again, though I noticed the price increased by $60. It is a great advanced point and shoot camera. I am amazed by the image quality and zoom image quality. Wish they would have placed the battery and memory compartment in a different location but that is a minor inconvenience given the performance of the camera. It is light, small, capable, and reasonably affordable...what more can you ask for?",1,1,Canon SX50,3
Vivek tripathi,1,The reason we so eagerly purchased this was that a friend of ours bought one and it is fantastic. Canon has problems with qualit,2015-08-15,Y,"We will be returning this camera.  The view finder is totally out of focus.  We are going to an actual store, rather than buying on line for this.  The reason we so eagerly purchased this was that a friend of ours bought one and it is fantastic.  Canon has problems with quality assurance on this one.",4,2,Canon SX50,1
Makam k.,5,Excellent,2015-08-14,Y,Excellent camera at an excellent price.  I graduated from the SX 40 so had a good idea on how to use it.,0,0,Canon SX50,1
Nidhi,4,Four Stars,2015-08-09,Y,The camera has performed as I hoped.  It is a proven technology.  Arrived faster that I anticipated.,0,0,Canon SX50,0
Pallab Ghosh,5,LOVE LOVE LOVE this camera,2015-08-05,Y,LOVE LOVE LOVE this camera.........get one b4 you can't  Take pictures of the moon and see all the craters. The zoom is unbelieveable<br />Took a picture of a fox at eighty yards and you can see her whiskers.....bought one for my son and daughter in law also.,0,0,Canon SX50,3
Aruna,5,Five Stars,2015-08-04,Y,Love the new camera. Buyer is excellent.,0,0,Canon SX50,4
Kalpana,5,Pics,2015-08-03,Y,Great pictures,0,0,Canon SX50,2
sandhya,5,Love this camera.,2015-08-03,Y,"Love this camera. I bough one from Costco first but it gave me issues so returned it. The bought it again from Amazon.  Very nice camera, good zoom and great picture quality.",0,0,Canon SX50,2
Harshad S,5,AMAZING,2015-08-01,Y,Everything I wanted and more!,0,0,Canon SX50,5
Shubham k.,4,Another Very Good product from Canon,2015-08-01,Y,"I read a lot of the reviews on this site before buying this. I bought it because my SLR developed a focusing problems and with a 50X optical zoom I could carry less weight and have most of the same flexibility  and convenience that an SLR offers. Most of that has turned out to be true. I have a limited amount of experience with the new camera so far, but to date it has exceeded my expectations. Focus can take some time when shooting into variable depth situations. I read a lot about poor low light problems, but took pictures at the zoo yesterday in a nocturnal environment (practically NO light) and with a little bit of adjustment in Picasa, have picture that are not great, but acceptable. This is using available light only. Very pleased with that. It allows me to get pictures that others may find impossible. More later if I find more positive/negative comments, but so far a VERY good experience.",3,2,Canon SX50,0
Amazon Customer,5,battery life is a good example. So far I have taken 485 pics ...,2015-07-31,Y,"Bought this even though the SX-60 is available - some reviews worried me too much - and I certainly do not regret it.  Some technical details missed the mark badly, battery life is a good example.  So far I have taken 485 pics & videos (nearly all using the viewfinder) and still have over half of the battery left.  Technical details estimated a life of 315, but maybe they were using the display.  Some reviews mentioned issues with auto-focus while taking macro shots.  It definitely took some getting used to & became much easier when I noticed the focus range displayed in the viewfinder while zooming.  The two drawbacks I noted were the lack of threads to attach a filter - I really like protecting that lens - and the lack of a printed manual.  There are WAY too many options & features to learn 'on your own.'",0,0,Canon SX50,0
Let's make it,5,Love this camera,2015-07-30,Y,"There are many, many reviews of this camera so I will keep my comments short and to the point. After a week of studying my options for a superzoom camera, the choices I had to consider were the SX50, SX60, Sony HX400V and Nikon P600 (with some Fuji models also possible).  The SX 60 has a few enticing enhancements (WiFi and more zoom) but in comparisons the SX50 appeared to have better resolution at high zoom negating one of those advantages. The Sony was a contender but was the heaviest in comparison and not quite as good in resolution or ease of use from reviews in various places inc. DPR. Nikon looked really good until I read some of the consistent negative comments. I am very happy with my choice.  Positives are the fantastically good image stabilization.  Hand held picture of the moon at maximum focus was Unbelievable and looked like it had been taken through a telescope with ridges on craters at the edge of a full moon clearly visible...........REALLY.  Bird pictures at full zoom similarly great.  The biggest surprise I had was how intuitive and user friendly this camera is.  Although it has LOTS o features and capabilities, finding the alternatives seems to be a lot easier than on my other Canon ELPH cameras.  With my positive rating and great experiences I need to say that I bought the SX50HS as a Reconditioned model at a great price and have given the seller an equally high 5 stars for a camera that is in 100% new condition with Amazon Prime delivery.",6,6,Canon SX50,2
Sivakumar,4,As easy to use as the Elph but soooo much more,2015-07-29,Y,As easy to use as the Elph but soooo much more! Just what I was looking for. A camera that is basically pint and shoot but can be aperture or shutter priority when you need it.  A whole lot packed into this camera.  I love it!<br />C. Dumser,1,1,Canon SX50,1
Abhi,5,You must watch MWestPhotography on You Tube to learn all about the features of this camera!,2015-07-28,N,I have had this amazing camera for several years but never really knew how to use all of it's features.  I found a man on You tube who gives lessons about this camera and I have learned so much from him.  I am on lesson 22 so far.  His videos are under MWestPhotography. Subscribe to his videos and watch them. You will learn so much about this camera.,2,2,Canon SX50,5
Suryavanshi,5,I'm far from a good photographer but this camera still takes very good vacation ...,2015-07-25,Y,"I'm far from a good photographer but this camera still takes very good vacation pictures in my hands. Was very good for the vast distances out west last year. Got some very good shots of bears close to a mile away. Zoom is great though requires a tripod at any great distance. Also, there are very loud &#34;clicks&#34; on the recording when the zoom starts or stops when shooting video but I did t buy this primarily as a video camera. Overall very happy with it and will be taking it on vacation again this year.",0,0,Canon SX50,0
jahnawi,4,overall very happy with it,2015-07-25,Y,"The pictures from this camera have turned out very well, overall very happy with it.  My only disappointment was with the viewfinder.  I like a good old fashion viewfinder over the screen, and this one is disappointing.",1,0,Canon SX50,1
Ram b.,4,Four Stars,2015-07-24,Y,I love it very much!,1,0,Canon SX50,1
KOTA . SIVAIAH,5,Excellent camera recommend 100%,2015-07-22,Y,"One of my best camera so far excrete image quality throughout the side, everything is excellent speed",0,0,Canon SX50,0
SS,5,Five Stars,2015-07-20,Y,Love this camera with the fantastic telephoto lens.,0,0,Canon SX50,2
Ashish,5,Great camera for amateurs that like to take good pictures!!,2015-07-19,Y,Really enjoying this camera! Great zoom lens. My pictures have gone to a new level. I'm not a pro but am able to take quality pictures at irritant events in my life. I am just discovering other wonderful features. Great product!!,0,0,Canon SX50,0
reji karunakaran,5,Five Stars,2015-07-17,Y,good product with great price ... Thanks for cooperating,0,0,Canon SX50,4
Prema,5,Super Zoom ...,2015-07-16,N,Very nice camera. I added the CHDK for extra features. The zoom is phenomenal . Checkout the moon photo I shot using this. The bear was clicked at yellowstone from a very long distance. It was not clear with the eye but the camera yielded an amazing shot. Another one of the trump tower in Chicago. Long exposure of Minneapolis Downtown. Day time long exposure with ND filter - Minnehaha falls.,5,5,Canon SX50,0
manoj kumar sarkar,5,Love the camera. Hate the condition it came in,2015-07-14,Y,"Overall, I love this camera. Frustrating that they've moved some of the buttons in different places from the previous versions. Just takes some getting used to . BUT, I was very unhappy with the condition it came in. Maybe it had been a Demo or something. If so, it should have SAID so.  The lens had something smeared all over it and was very hard to remove. Was very worried about damaging the lens. It was very dusty. The only reason I decided to keep it was because I was in the middle of taking photos of a rare duck and I NEEDED a camera because my other one was in the process of dying on me. I cleaned it up and LOVE the camera. Getting beautiful shots and very SHARP shots.",1,1,Canon SX50,4
