Name,Score,Keyword,Time,Purchase,Text,votes,Helpful_Votes,Experience,product_name
Riswana Rinu,4,Four Stars,11-Jul-18,Verified Purchase,Nice one,,23,2,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
Archana Lokhande,5,Royal blue color lovers....,9-Jan-19,Verified Purchase,Nice watch for womens. I love Royal blue color so I ordered this from Amazon. this watch is more attractive and stylist retro look. Thanks to Amazon for delivered it faster. 👌😄👌,,20,2,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
heena,1,Very bad,4-Dec-18,Verified Purchase,Dont buy it .stucks many times nt money worthy product,14 people found this helpful,15,1,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
Atul Mishra,5,Five Stars,25-Apr-18,Verified Purchase,Nice watch & nice colour,9 people found this helpful,10,2,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
Manaswini s,5,Five Stars,29-Mar-18,Verified Purchase,Super,5 people found this helpful,5,1,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
Mridul,5,Nice trendy watch for kids,10-Sep-18,Verified Purchase,Very nice and stylish watch for kids. The Blue colour strap against golden dial looks good.,2 people found this helpful,12,4,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
Mjs,5,Wonderful Product,23-Oct-18,Verified Purchase,Its a nice one looks Cool on the wrist of my wify. You can go for it ... must go!!,2 people found this helpful,2,1,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
Sarala Devi,1,Dial rim colour and numbers are not gold,2-Nov-18,Verified Purchase,Big dial.Image was misleading as dial rim and numbers colour is copper not gold.so not much attractive as shown in the picture.It stopped working within a month.Dont get cheated.Nowadays Amazon products are inferior and delivery is bad,One person found this helpful,8,1,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
Ravi,5,Very beautiful and good watch.,1-Nov-19,Verified Purchase,Received the watch in same color as shown in digital. Good watch as per it's price and design. Gifted to my wife. She was happy.,Helpful,12,3,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
Vivek tripathi,2,Two Stars,16-Apr-18,Verified Purchase,Good look this watch,4 people found this helpful,4,1,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
Makam k.,4,Very nice product,18-Nov-18,Verified Purchase,I liked this product very muchBut some some colour was goingOnly some places not much more,2 people found this helpful,3,1,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
Nidhi,4,Good Lookin Watch !,16-Jul-19,Verified Purchase,The watch looks best! Its royal blue color is very nice ! Dial is bit big but fits perfectly for the look!Straps are of silicone which make it all season wear! Best Product! Must Buy!,,1,0,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
Pallab Ghosh,5,great buy,29-Jan-19,Verified Purchase,same as in the appno alterations in colorextra battery providedsmart & precious looking watchgood buy and price low,Helpful,12,3,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
Aruna,4,Good looking watch,12-Jul-19,Verified Purchase,The watch is pretty and a new battery is included in the parcel so that it works fine.,Helpful,52,4,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
Kalpana,5,Good purchase,14-Jun-19,Verified Purchase,Very nice wath looks briliant . Liked the thing that got a ring free,Helpful,8,2,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
sandhya,5,Superrrrr,20-Jun-18,Verified Purchase,Simply superb,2 people found this helpful,2,2,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
Harshad S,4,Fairly good at this price. Value for money.,29-Jul-19,Verified Purchase,This is a fairly good watch at this price. Total value for money.,Helpful,39,5,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
Shubham k.,4,Price is little bit high .... But the product is outstanding,4-Jul-19,Verified Purchase,First when I saw the watch it was not working but when I tried to set the time it started working...... It is working good but the product is available at less prize in market,,0,0,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
Amazon Customer,2,Local product. Bad quality,31-May-19,Verified Purchase,Average quality. Strap poor quality.,Helpful,8,0,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
Let's make it,3,Overall the watch is good.,26-Sep-19,Verified Purchase,It gives us enough comfort and style of watch is good. It also gives us extra battery in the box.Price is also suitable.⌚⌚👍👍😊😊.,Helpful,3,2,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
Sivakumar,1,Don’t buy this,20-Mar-19,Verified Purchase,Poor quality not worth to buy,One person found this helpful,20,1,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
Abhi,4,Nice,1-Nov-19,Verified Purchase,Nice design,Helpful,1,5,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
Suryavanshi,4,Good product for gift,17-Jul-19,Verified Purchase,Good to use ....gifted,Helpful,3,0,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
jahnawi,5,Very stylish,30-Oct-19,Verified Purchase,I loved it,Helpful,0,1,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
Ram b.,3,BTS,13-Mar-19,Verified Purchase,It looks very good but I think the belt is lil bit small.., or else I liked the product,2,1,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
KOTA . SIVAIAH,2,Waste,7-Oct-19,Verified Purchase,This watch is not suitable for women,Helpful,0,0,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
SS,5,Loved it,17-Aug-19,Verified Purchase,It's same as shown royal blue and looks so royal,Helpful,3,2,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
Ashish,1,Belt Locking is very Bad,12-Aug-19,Verified Purchase,The belt of the watch is coming out of watch, very frequently. The belt locking system is not at all proper. Seems non useful...if belt locking is so poor.,0,0,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
reji karunakaran,3,Good product,27-Sep-19,Verified Purchase,Good product,Helpful,5,4,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
Prema,5,Good,28-Oct-19,Verified Purchase,Like,Helpful,2,0,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
manoj kumar sarkar,4,Fine,3-Jul-19,Verified Purchase,West,Helpful,4,4,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
Kolli ganesh,4,Big dile,21-Jul-19,Verified Purchase,Big dile,Helpful,2,2,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
Anisha k.,4,I m very happy with the product,7-Sep-18,Verified Purchase,I m very happy with the product.....it reached my expectation ....but if the dial was in silver colour...it would be look better......,Helpful,5,1,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
