Product_name,Total,1_star,2_star,3_star,4_star,5_star,Image_Link
Canon SX50,204,5,5,9,40,145,https://3.img-dpreview.com/files/p/articles/6258513278/canon_sx50hs.png
Canon T5 Bundle v2,219,4,5,9,39,162,https://coupondays-imd1.netdna-ssl.com/images/2016/01/Canon-T5-Bundle-v2-0-1024x1024.jpg
Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,242,38,17,20,24,143,https://images-na.ssl-images-amazon.com/images/I/81PqX%2BldfjL._SX425_.jpg
Nikon COOLPIX AW110 16 MP Waterproof Digital Camera with Built-In Wi-Fi,260,86,21,16,37,100,https://images-na.ssl-images-amazon.com/images/I/81wuNc8Kw0L._SL1500_.jpg
Nikon COOLPIX AW120,220,20,5,15,36,144,https://cdn-4.nikon-cdn.com/e/Q5NM96RZZo-YRYNeYvAi9aeqFMY3fvEkMLBCAiSy_A0dkg9MCVAkzpML9TxxrA3tUHLDQsnyeLuuFIXaO_hfcCwKd4M5Nlo8ls7shzA5rQU=/Views/26467_AW120_OR_front.png
Nikon Coolpix L330 Digital Camera (Black),220,18,5,16,41,140,https://images-na.ssl-images-amazon.com/images/I/8138ZnKoAdL._SL1500_.jpg
Nikon COOLPIX L810 16.1 MP Digital Camera with 26x Zoom NIKKOR ED Glass Lens and 3-inch LCD,200,28,17,26,30,99,https://images-na.ssl-images-amazon.com/images/I/81md8cMe03L._SL1500_.jpg
Nikon COOLPIX L820 16 MP Digital Camera with 30x Zoom,220,16,9,16,35,144,https://images-na.ssl-images-amazon.com/images/I/81I5Qi7DvkL._AC_SX355_.jpg
Nikon COOLPIX P520 18.1 MP Digital Camera with 42x Zoom,220,12,11,18,33,146,https://images-na.ssl-images-amazon.com/images/I/71-aJ-Zi1XL._AC_SX355_.jpg
Nikon COOLPIX S32,209,29,11,13,39,117,https://cdn-4.nikon-cdn.com/e/Q5NM96RZZo-YRYNeYvAi9aeqFMY3fvEkMLBCAiSy_A0dkg9MGzQn08RqLikZbrcc7FObIjYnfiqGScoEWkXQZzRcJBjGBULF/Views/26461_S32_BL_front.png
Nikon COOLPIX S3500 20.1MP Digital Camera with 7x Zoom,220,22,21,24,36,117,https://n4.sdlcdn.com/imgs/a/i/8/Nikon-Coolpix-S3500-20-1-SDL069498961-1-46a54.jpg
Nikon COOLPIX S3600 20.1 MP Digital Camera with 8x Zoom NIKKOR Lens and 720p HD Video,200,28,21,18,32,101,https://images-na.ssl-images-amazon.com/images/I/71H5zCOQZfL._SL1500_.jpg
Panasonic  Digital Camera with 3-Inch LCD,220,14,12,19,35,140,https://images-na.ssl-images-amazon.com/images/I/81bwcQpYjML._SL1500_.jpg
Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,241,8,9,6,39,179,https://images-na.ssl-images-amazon.com/images/I/817fXPc49ZL._AC_SX355_.jpg
Panasonic LUMIX DMC-FZ70 16.1 MP Digital Camera with 60x Optical Image Stabilized Zoom and 3-Inch LCD (Black),232,8,5,12,30,177,https://images-eu.ssl-images-amazon.com/images/I/51PX4ZH1yUL._SY300_QL70_ML2_.jpg
Panasonic LUMIX DMC-LX7K 10.1 MP Digital Camera with 3.8x Optical zoom and 3.0-inch LCD -  Black,206,7,7,9,24,159,https://images-na.ssl-images-amazon.com/images/I/41F50rRB%2B3L._AC_.jpg
Panasonic Lumix DMC-TS25 16.1 MP Tough Digital Camera with 8x Intelligent Zoom,242,47,17,14,42,122,https://images-na.ssl-images-amazon.com/images/I/41c%2BVX4uKzL._SX355_.jpg
Samsung SmartCam HD Pro 1080p Full-HD Wi-Fi Camera,220,47,33,33,37,70,"https://m.media-amazon.com/images/I/418BHSaK7LL._SR500,500_.jpg"
Samsung SNH-1011 Wireless IP Camera,205,52,32,21,49,51,https://rukminim1.flixcart.com/image/352/352/webcam/h/p/a/samsung-samsung-snh-1011-wireless-ip-camera-original-imaeh4h4g4egqzvh.jpeg?q=70
"Samsung WB1100F 16.2MP CMOS Smart WiFi & NFC Digital Camera with 35x Optical Zoom, 3.0"" LCD and 1080p HD Video",212,18,13,17,38,126,https://images-na.ssl-images-amazon.com/images/I/711V-JcUHJL._AC_SX355_.jpg
Sony Alpha a5000 Mirrorless Digital Camera with 16-50mm OSS Lens (White),209,5,6,16,30,152,https://images-na.ssl-images-amazon.com/images/I/81eMI8tirGL._AC_SL1500_.jpg
Sony Alpha a6000 Mirrorless Digital Camera with 16-50mm Power Zoom Lens,231,9,5,6,28,183,https://static.bhphoto.com/images/images1000x1000/1392158857_1029860.jpg
