2,Dont buy it .stucks many times nt money worthy product
7,Big dial.Image was misleading as dial rim and numbers colour is copper not gold.so not much attractive as shown in the picture.It stopped working within a month.Dont get cheated.Nowadays Amazon products are inferior and delivery is bad
9,Good look this watch
18,Average quality. Strap poor quality.
19,It gives us enough comfort and style of watch is good. It also gives us extra battery in the box.Price is also suitable.⌚⌚👍👍😊😊.
20,Poor quality not worth to buy
24,It looks very good but I think the belt is lil bit small..
25,This watch is not suitable for women
27,The belt of the watch is coming out of watch
28,Good product
35,Product arrived in not working condition. Extra battary button cell provided also not working .looks good 
42,Looks like doll watch... Wont gives decent look
44,It's too short I thought it should be big i m not statified with size but colour and all things were very nice
48,Good product
49,Ok
51,Shown too small but send too big size
53,Not good quality
55,I purchased the watch but one of the stone on the dial was missing and some were not placed properly. It looks odd when you wear it with such defects. Otherwise the functionality of the watch was okay.
56,Today I got the watch but I'm very disappointed because the case is missing which is shown in the picture.Instead I got a plastic case that too a very small one that it hardly fits the watch. If you are showing the case you have to deliver it to.Such a disappointment.
57,Watch is good but the packing box image which u are showing in add in Amazan app that is totally different so please share accurate information about the product before selling it's like fooling customer
60,About item watches company wrote female watch but watches belt is so wide like gents watch
63,Nixe
67,The worst quality stops working within 20 days and polish faded n
69,Cheap quality
70,So so
71,ok
72,The watch is not working.. changed battery..still there seems to be an issue with it..
74,Dey r not working ......so sad abt dat
75,It keeps getting repaired every month. No value for product or money
76,This is beautiful but size is large for me
80,good product.... little finishing difference...
81,Honestly it seemed like guy's watch
85,https://www.amazon.in/dp/B00VA4G342/ref=cm_cr_ryp_prd_ttl_sol_12
86,This is worst product.Lot of big size this product women not use this watch .weast of my money....
91,The colour of watch is very dull not as shown in the display .......and I am very upset
92,Horrible piece.its so bulky nd ugly
96,Its chain is too big like gents watch I throwed it.
101,Nice Product
104,Very very bad.It is not useful for ladies at all
108,IT IS OVERSIZED. IT LOOKS LIKE GENTS WATCH.SO I RETURNED IT.
110,Hate it......not even works
112,Color is little yellowish other than golden other wise great product at cheap price
113,It suites for women not for girlsBut it a good product
116,Build quality of product is wrost
117,Very bad watch is not functioning
120,very bad
